CTRI_No,Public_Title,Type_of_Trial,Recruitment_Status,Health_Condition,Intervention_Name,Location
CTRI/2011/091/000021,This is a Neoadjuvant Study of AC Followed by Ixabepilone or Paclitaxel in Early Stage Breast Cancer That is HER-2 Negative and Estrogen Receptors Negative,,"Total: Completed
Indian:",Early Breast Cancer,"Ixabepilone,Paclitaxel, Doxorubicin, Cyclophosphamide

A: Experimental

B: Active","Delhi State Cancer Institute, Dilshad Garden, New Delhi-110095,DELHI

Department of Medical Oncology, Christian Medical College,TAMIL NADU

Department of Medical Oncology, Jindal Block, Kidwai Memorial Hospital, Dr. M. H. Marigoeda Road, Ho,KARNATAKA

Department of Medical Oncology, Shridi Sai Baba Cancer Hospital, Manipal-576104,N/A

Department of Medical Oncology, Tata Memorial Hospital, Dr. E Borges Road, Parel, Mumbai-400012,MAHARASHTRA

Dept. of Medical Oncology Ambedkar Institute Rotary Cancer Hospital, AIIMS,DELHI

Jehangir Clinical Development Center (JCDC), Jehangir Hospital, Sassoon Road, Pune-411001,MAHARASHTRA

Regional cancer Center, Breast Unit,,N/A"
CTRI/2007/091/000039,Phase II Study for Previously Untreated Subjects With Non Small Cell Lung Cancer (NSCLC) or Small Cell Lung Cancer (SCLC),,"Total: Open to Recruitment
Indian:","Lung Cancer Small Cell Lung Cancer Carcinoma, Non-Small-Cell Lung","ipilimumab, paclitaxel, carboplatin

A:EXPERIMENTAL

B:EXPERIMENTAL","Department of Medical Oncology Nizam's Institute of Medical Sciences,ANDHRA PRADESH

Dept. of Medical Oncology Shirdi Sai Baba Cancer Hospital KMC, Manipal,N/A

Dept. of Medical Oncology Christian Medical College Vellore,TAMIL NADU

GI and Lung Cancer Division Regional Cancer Institute,N/A

Haemato-Oncology Clinic,GUJARAT"
CTRI/2007/091/000017,A clinical trial to compare and study the effect of a new experimental drug AMG 706 or Bevacizumab in combination with Paclitaxel and Carboplatin in patients with Advanced Non-Squamous Non-Small Cell Lung Cancer.,,"Total: Not Yet Recruiting
Indian:",Advanced Non-Squamous Non Small Cell Lung Cancer,"AMG 706

AMG 706","Apollo Speciality Hospitals,TAMIL NADU

Batra Hospital & Medical Research Centre,DELHI

Cancer Care Clinic,MAHARASHTRA

Christian Medical College,TAMIL NADU

Kasturba Hospital,N/A

LRS Institute of TB & Respiratory Diseases,DELHI

S.L Raheja Hospita,MAHARASHTRA

Tata Memorial Centre,MAHARASHTRA"
CTRI/2007/091/000043,"A study to determine the safety and activity of a novel oral agent, AV-951, in patients with kidney cancer To determine the safety and efficacy of AV-951 for the treatment in patients with Renal cell carcinoma.",Interventional,"Total: Open to Recruitment
Indian: Completed",Patients with Renal Cell Carcinoma. Cancer Patients.,AV-951,"Christian Medical College, Department of oncology,TAMIL NADU

Dept. of Oncology, Tata Memorial Hospital,MAHARASHTRA

Jaslok Hospital & Research Centre,MAHARASHTRA

Orchid Nursing Home,WEST BENGAL

Rajiv Gandhi Cancer Institute & Research Centre,DELHI"
CTRI/2007/091/000044,SNX-1012-CLN2: A clinical trial to study the effect of a new drug SNX-1012 on mouth ulcers in Patients Receiving Cancer Treatment when compared to a placebo,,"Total: Completed
Indian:",Ulcerative Oral Mucositis in Cancer patients receiving Cytotoxic Chemotherapy,SNX-1012 (30 mg QID),"Apollo Hospitals,ANDHRA PRADESH

Apollo Speciality Hospital,TAMIL NADU

Bhagwan Mahavir Cancer Hospital and Research Centre,RAJASTHAN

Chistian Medical College,TAMIL NADU

Chittaranjan National Cancer Institute,WEST BENGAL

Dayanand Medical College & Hospital,PUNJAB

Dharamshila Cancer Hospital and Research Centre,DELHI

Global Hospital,ANDHRA PRADESH

Jaslok Hospital,MAHARASHTRA

Jawaharlal Nehru Cancer Hospital and Research Centre,MADHYA PRADESH

Jehangir Hospital,MAHARASHTRA

Netaji Subhash Chandra Bose Cancer Hospital & Research Institute,WEST BENGAL

Nizams Institute of Medical Sciences,ANDHRA PRADESH

North Bengal Oncology Centre,N/A

Regional Cancer Centre,N/A

Ruby Hall Clinic,MAHARASHTRA

Sea Rock Cancer Centre,,RAJASTHAN

Seth Ramdas Shah Memorial Hospital & Research Centre,MAHARASHTRA

Vedanta Institute of Medical Sciences,GUJARAT"
CTRI/2008/091/000013,This lung cancer study is to investigate if adding vandetanib (ZD 6474) to Alimta (pemetrexed) is more effective than Alimta (pemetrexed) alone in Patients with Locally Advanced or Metastatic (stage IIIB or IV) Non-Small Cell Lung Cancer (NSCLC) after Failure of 1st Line Anti-cancer Therapy,,"Total: Completed
Indian:",Locally Advanced or Metastatic (stage IIIB or IV) Non-Small Cell Lung Cancer (NSCLC) after Failure of 1st Line Anti-cancer Therapy,This lung cancer study is to investigate if adding vandetanib (100mg) to Alimta ((500mg/m2 given on day 1 of each 21-day cycle) is more effective than Alimta (pemetrexed) alone.,"Christian Medical College,TAMIL NADU

Vedanta Institute of Medical Sciences,GUJARAT"
CTRI/2008/091/000016,Phase III Randomized Trial of Maintenance Pegylated Liposomal Doxorubicin (PLD) / Carboplatin versus without in Patients with Advanced Ovarian Cancer,,"Total: Open to Recruitment
Indian:","Gynecology Oncology, Ovarian Cancer maintainence therapy after Surgery and full course first line chemotherapy",Lipodox,"St. John's Medical College & Hospital,KARNATAKA"
CTRI/2008/091/000017,A study to determine the safety and activity of Sorafenib in patients with locally recurrent or metastatic breast cancer,Interventional,"Total: Completed
Indian: Completed",Patients with locally recurrent or metastatic breast cancer,Sorafenib,"Amrita Institute of Medical Sciences, Kochi,N/A

Apollo Hospital Educational & Research Foundation, New Delhi ,DELHI

Apollo Specialty Hospital, Chennai,TAMIL NADU

Breast cancer clinic,Regional Cancer Centre, Trivandrum,N/A

Cancer Clinic, Nagpur,MAHARASHTRA

Department of Medical Oncology,Nizamâ€™s Institute of Medical Sciences, Hyderabad ,ANDHRA PRADESH

Dr.Kamakshi Memorial Hospital, Chennai,TAMIL NADU

Institute Rotary Cancer Hospital, AIIMS, New Delhi,DELHI

Jaslok Hospita and Research Centre, Mumbai,MAHARASHTRA

Jawaharlal Nehru Cancer Hospital and Research Centre, Bhopal,MADHYA PRADESH

Kasturba Medical College Hospital, Mangalore ,KARNATAKA

Kidwai Memorial Institute of Oncology, Bangalore,KARNATAKA

Mahaveer Cancer Sansthan, Patna,BIHAR

Ruby Hall Clinic, Pune,MAHARASHTRA

Shatabdi Super Specialty Hospital, Nashik,N/A

Sir Ganga Ram Hospital, New Delhi,DELHI

Sterling Hospital, Ahmedabad,GUJARAT

Tata Memorial Center, Parel,MAHARASHTRA

The Gujarat Cancer and Research Centre, Ahmedabad,GUJARAT

Vedanta Institute of Medical sciences, Ahmedabad,N/A"
CTRI/2011/091/000025,A clinical trial to study the effect of chemotherapy (FOLFIRI) with or without Sunitinib Malate in patients with metastatic cancer of colon/rectum.,Interventional,"Total: Other (Terminated)
Indian: Completed",Metastatic Colorectal Cancer,Sunitinib + Folfiri,"Christian Medical College,TAMIL NADU

Department of Medical Oncology,MAHARASHTRA

Jaslok Hospital & Research Centre,,MAHARASHTRA

Rajlakshami Multispeciality Hospital,,KARNATAKA

Seth Ramdas Shah Memorial Hospital & Research Centre,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2008/091/000028,A double blind clinical trial comparing the study drug and placebo as second line therapy for treatment of Locally Advanced or Metastatic Non Small Cell Lung Cancer (NSCLC)?.,Interventional,"Total: Completed
Indian: Completed","Malignant neoplasm of unspecifiedpart of bronchus or lung

Non Small Cell Lung Cancer",Aflibercept+docetaxel,"Dept. of Medicine ,N/A

Kidwai Memorial Institute Of Oncology,KARNATAKA

Orchid Nursing Home,WEST BENGAL

Ruby Hall Clinic,MAHARASHTRA"
CTRI/2008/091/000036,Larotaxel + Cisplatin Versus Gemcitabine + Cisplatin in First Line Treatment of Locally Advanced/Metastatic Urothelial Tract or Bladder Cancer (CILAB),Interventional,"Total: Other (Terminated)
Indian: Other (Terminated)","Bladder Cancer

Other specified disorders of bladder",Larotaxel+Cisplatin,"Andhra Medical College,N/A

Christian Medical College,TAMIL NADU

Kidwai Memorial Institute of Oncology,N/A

Nizamâ€™s Institute of Medical Sciences, Panjagutta,N/A

Ram Manohar Lohia Hospital and PGIMER,N/A

Safdarjung Hospital,N/A"
